Owner,total_capacity,number_of_plants,number_of_countries
Infrabuild Australia Pty Ltd,1530.0,2,1
Shanxi Changxin Industry Co Ltd,1520.0,1,1
Jishan Mingfu Steel Products Co Ltd,1520.0,1,1
PT The Master Steel MFG,1500.0,1,1
Pasargad Steel Complex Co,1500.0,1,1
Pomina Steel JSC,1500.0,2,1
Qian'an Zhayi Steel Group Co Ltd,1500.0,1,1
G J Steel PCL,1500.0,1,1
Danyang Longjiang Steel Co Ltd,1500.0,1,1
JSW Steel USA Ohio Inc,1500.0,1,1
Sichuan Shengquan Iron and Steel Group Co Ltd,1500.0,1,1
SteelAsia Manufacturing Corp,1500.0,2,1
Jiangyin Huaxi Steel Co Ltd,1500.0,1,1
Butia Iranian Steel Co,1500.0,1,1
Daido Steel Co Ltd,1500.0,1,1
ESL Steel Ltd,1500.0,1,1
Gerdau Corsa SAPI de CV,1500.0,2,1
Jilin Jingang Lron and Steel Co Ltd,1500.0,1,1
Zarand Iranian Steel Co,1500.0,1,1
AM/NS Calvert LLC,1500.0,1,1
Zhongpu (Handan) Iron and Steel Co Ltd,1500.0,1,1
Guangxi Wuzhou Jinhai Stainless Steel Co Ltd,1500.0,1,1
Henan Fengbao SPECIAL Steel Co Ltd,1500.0,2,1
"Fugang METAL Manufacturing Co.ltd.,jilinjigang Steel Group",1500.0,1,1
Aichi Steel Corp,1495.0,1,1
Arcelormittal Olaberria-Bergara SL,1450.0,1,1
Acciai Speciali Terni SpA,1450.0,1,1
UMK-Stal LLC,1420.0,2,1
Shandong Luli Steel Co Ltd,1400.0,1,1
Yunnan Qujing Iron and Steel Group Co Ltd,1400.0,1,1
Hebei New Wuan Steel Group Wenan IRON&STEEL Co Ltd,1400.0,1,1
Heping Yueshen Steel Industrial Co Ltd,1400.0,1,1
Yantai Walsin Stainless Steel Co Ltd,1400.0,1,1
Kroman Celik Sanayii AS,1400.0,1,1
Southern Steel Bhd,1400.0,1,1
Lech Stahlwerke GmbH,1400.0,1,1
Kaptan Demir Celik Endustrisi Ve Ticaret AŞ,1400.0,1,1
Hebei Xinghua Iron and Steel Co Ltd,1400.0,1,1
ESF Elbe-Stahlwerke Feralpi GmbH,1400.0,1,1
Guangxi Guigang Iron and Steel Group Co Ltd,1400.0,2,1
Abul Khair Steel Ltd,1400.0,1,1
Hadeed Metal Manufacturing Co,1400.0,1,1
Stomana Industry AD,1400.0,1,1
Khorasan Steel Complex Co,1400.0,1,1
Lvliang Jianlong Industrial Co Ltd,1400.0,1,1
Vyksunskiy Metallurgicheskiy Zavod AO,1400.0,1,1
Riva Acciaio SpA,1380.0,2,1
Rungta Mines Ltd,1374.52,5,1
Nippon Steel Stainless Steel Corp,1366.0,2,1
Fujian Yixin Steel & Iron Co Ltd,1360.0,1,1
Tata Steel (Thailand) PCL,1350.0,2,1
Wulanhot Iron & Steel Co Ltd,1350.0,1,1
Sovel SA,1350.0,1,1
Tongling Fuxin Iron & Steel Co Ltd,1350.0,1,1
Jiangsu Delong Nickel Industry Co Ltd,1350.0,1,1
Inner Mongolia Desheng Metal Products Co Ltd,1350.0,1,1
Hebei Huaxin Special Steel Co Ltd,1350.0,1,1
Guizhou Ganglian Industrial Group Co Ltd,1325.0,1,1
Interpipe Ltd,1320.0,1,1
AG Siderurgica Balboa SA,1300.0,1,1
Yesilyurt Demir Celik Endustri Ve Liman Isletmeleri AŞ,1300.0,1,1
Hengyang Valin Steel Tube Co Ltd,1300.0,1,1
Diler Demir Celik Endustri ve Ticaret AŞ,1300.0,1,1
ArcelorMittal Duisburg GmbH,1300.0,1,1
Siderurgica Sevillana SA,1300.0,1,1
Sulb Company BSCC,1265.0,1,1
Mass Iraq Iron and Steel Industry Co,1250.0,1,1
MZ Balakovo JSC,1250.0,1,1
Corporacion Aceros Arequipa SA,1250.0,1,1
Ekinciler Demir ve Celik Sanayi AŞ,1250.0,1,1
Acciaierie di Verona SpA,1250.0,1,1
Tubos de Acero de Mexico SA,1230.0,1,1
Feralpi Siderurgica SpA,1216.0,1,1
Fujian Longgang New Materials Co Ltd,1210.0,1,1
Charter Manufacturing Co Inc,1205.0,2,1
SeAH Changwon Integrated Special Steel Corp,1200.0,1,1
SeAh Steel Holdings Corp,1200.0,1,1
Hubei Xinxin Steel Group Co Ltd; natural person(s),1200.0,1,1
Huahong Iron and Steel Products Co Ltd,1200.0,1,1
Hebei YongYang Special Steel Group Co Ltd,1200.0,1,1
Shaanxi Huaxin Special Steel Group Co Ltd,1200.0,2,1
Guilin Pinggang Iron and Steel Co Ltd,1200.0,1,1
Guangxi Guigang Iron and Steel Group Guigang Guibao SPECIAL Steel Co Ltd,1200.0,1,1
Ege Celik Endustrisi Sanayi ve Ticaret AŞ,1200.0,1,1
Egyptian American Steel Rolling Company SAE,1200.0,1,1
Egyptian Steel Group,1200.0,2,1
Moon Iron and Steel Company SAOC,1200.0,1,1
Acerinox Europa SAU,1200.0,1,1
Zhejiang Wantai Special Steel Co Ltd,1200.0,1,1
Tata Steel Long Products Ltd,1200.0,1,1
Celsa France SAS,1200.0,1,1
GFG Alliance Ltd,1200.0,1,1
Univers Acier,1200.0,1,1
Vina One Steel Manufacturing Corp,1200.0,1,1
Sirjan Jahan Steel Co,1200.0,1,1
Solb Steel Co,1200.0,1,1
Ezhou Hongtai Steel Co Ltd,1200.0,1,1
Chadormalu Mining & Industrial Co,1200.0,1,1
Jayaswal Neco Industries Ltd,1200.0,1,1
Bafgh Mineral Complex Iron & Steel Co,1200.0,1,1
Ozkan Demir Celik Sanayi AŞ,1200.0,1,1
United Steel Industries Co KSCC,1200.0,1,1
Anyang Huixin Special Steel Co Ltd,1200.0,1,1
Nucor Steel Tuscaloosa Inc,1200.0,1,1
Maghreb Steel SA,1200.0,1,1
Mesco Kalinga Steel Ltd,1200.0,1,1
AFV Acciaierie Beltrame SpA,1200.0,1,1
Prakash Industries Ltd,1190.0,1,1
Amurstal LLC,1150.0,1,1
Zunyi County Fuxin Iron & Steel Product Co Ltd,1150.0,1,1
Guangxi Hezhou Kexinda Metal Products Co Ltd,1150.0,1,1
Daye Huaxin Industrial Co Ltd,1150.0,1,1
Hejin Huaxinyuan Steel & Iron Co Ltd,1150.0,1,1
Xinjiang Minxin Iron and Steel (Group) Minhang Special Steel Co Ltd,1110.0,1,1
Wuxi Xinsanzhou Special Steel Co Ltd,1100.0,2,1
Posco (Zhangjiagang) Stainless Steel Co Ltd,1100.0,1,1
Koc Metalurji AŞ,1100.0,1,1
ABA Çelik Demir LŞ,1100.0,1,1
ArcelorMittal Hamburg GmbH,1100.0,1,1
Siam Yamato Steel Co Ltd,1100.0,2,1
Stahlwerk Thueringen GmbH,1100.0,1,1
SN SEIXAL Siderurgia Nacional SA,1100.0,1,1
Gaolan County Lanxin Steel Co Ltd,1100.0,1,1
GV do Brasil Industria e Comercio de Aço Ltda,1100.0,2,1
Jilinheng Precision Casting Technology Co Ltd,1100.0,1,1
Uzbekskiy Metallurgicheskiy Kombinat JSC,1100.0,1,1
Acciaierie Bertoli Safau SpA,1100.0,1,1
Zunyi Changling Special Steel Co Ltd,1100.0,1,1
Neelachal Ispat Nigam Ltd,1100.0,1,1
Zhejiang Yuxin Industrial Co Ltd,1100.0,1,1
Sterling Steel Co LLC,1090.0,1,1
Metallus Inc,1088.0,1,1
ArcelorMittal Kryvyi Rih PJSC,1083.0,1,1
Evonith Metallics Ltd,1080.0,2,1
Ovako AB,1075.0,2,2
GPH Ispat Ltd,1051.0,1,1
Yazici Demir Celik Sanayi ve Turizm Ticaret AŞ,1050.0,1,1
Eden Flame Sdn Bhd,1050.0,1,1
Siderurgica del Orinoco Alfredo Maneiro CA,1020.0,1,1
Chongqing Zuhang Steel Co Ltd,1010.0,1,1
Jiangxi Taixin Iron & Steel Co Ltd,1000.0,1,1
SUE DPR UMP,1000.0,1,1
Vallourec Soluções Tubulares do Brasil SA,1000.0,1,1
Xuzhou Jinhong Iron and Steel Group Co Ltd,1000.0,1,1
Tung Ho Steel Vietnam Corp Ltd,1000.0,1,1
Peiner Traeger GmbH,1000.0,1,1
Posco Vietnam Co Ltd,1000.0,1,1
KG Steel Co Ltd,1000.0,1,1
Arfa Iron and Steel Co,1000.0,1,1
Longnan Fuxin Steel Co Ltd,1000.0,1,1
PT Mandan Steel,1000.0,1,1
Ashinskiy Metzavod PJSC,1000.0,1,1
Mescier Demir Celik AŞ,1000.0,1,1
Outokumpu Stainless USA LLC,1000.0,1,1
Anhui Langxi County Fuhang Steel Co Ltd,1000.0,1,1
Yieh United Steel Corp,1000.0,1,1
Xinjiang Da'an Special Steel Co Ltd,1000.0,1,1
Wuzhou Yongda Special Steel Co Ltd,1000.0,1,1
Xinjiang Yili Iron and Steel Co Ltd,1000.0,1,1
Xinjiang Ka Steel Group Co,1000.0,1,1
Neyriz Ghadir Steel Co,1000.0,1,1
Moldova Steel Works JSC,1000.0,1,1
National Steel Co,1000.0,1,1
Cangzhou Lingang Sanling Metal Co Ltd,1000.0,1,1
Chizhou Guichi Guihang Metal Products Co Ltd,1000.0,1,1
HES Hennigsdorfer Elektrostahlwerke GmbH,1000.0,1,1
Nervacero SA,1000.0,1,1
Ezz Steel Co,1000.0,1,1
Dazhou Hangda Steel Co Ltd,1000.0,1,1
Devki Steel Mills Ltd,1000.0,1,1
Daehan Steel Co Ltd,1000.0,1,1
Iranian Sirjan Steel Co,1000.0,1,1
Jingzhou Qunli Metal Products Co Ltd,1000.0,1,1
Bonab Steel Complex,1000.0,1,1
Fushun Special Steel Co Ltd,999.0,1,1
Natanz Steel Co,999.0,1,1
Topy Industries Ltd,960.0,1,1
Fujian Qingtuo New Material Co Ltd,958.0,1,1
Duferco Travi e Profilati SpA,950.0,1,1
JSW Ispat Special Products Ltd,950.0,1,1
Taganrogskiy Metallurgicheskiy Zavod JSC,950.0,1,1
Chelyabinskiy Truboprokatnyi Zavod JSC,950.0,1,1
Severskiy Trubnyi Zavod JSC,950.0,1,1
Jinye Steel Group Co Ltd,950.0,1,1
YK Steel Corp,930.0,1,1
Xining Special Steel Co Ltd,900.0,1,1
Volzhskiy Trubnyi Zavod JSC,900.0,1,1
PT Jakarta Prima Steel Industries,900.0,1,1
Aperam Inox America do Sul SA,900.0,1,1
Chengdu Changfeng Steel Group Co Ltd,900.0,2,1
Ann Joo Integrated Steel Sdn Bhd,900.0,1,1
Celsa Huta Ostrowiec SP zoo,900.0,1,1
Henan Xinjinhui Stainless Steel Industry Co Ltd,900.0,1,1
Ferriera Valsabbia SpA,900.0,1,1
Nucor Steel Memphis Inc,891.0,1,1
Guangshui Huaxin Smelt Industry Co Ltd,869.0,1,1
Çebitaş Demir Çelik Endüstrisi AŞ,860.0,1,1
Cascade Steel Rolling Mills Inc,860.0,1,1
Nucor Steel Seattle Inc,855.0,1,1
Societe des Aciers d'Armature pour le Beton SAS,850.0,1,1
Columbus Stainless (Pty) Ltd,850.0,1,1
Rajhi Steel Industries Co Ltd,850.0,1,1
Sichuan Ya'an Anshan Iron and Steel Co Ltd,830.0,1,1
Ascometal France Holding SAS,825.0,1,1
Tangshan Xinglong Steel Co Ltd,825.0,1,1
Ann Joo Steel Bhd,820.0,1,1
Lamines Marchands Europeens SA,820.0,1,1
UMC Metals Ltd,805.0,1,1
Baku Steel Company QSC,800.0,1,1
ArcelorMittal Hunedoara SA,800.0,1,1
Ozmert Algeria SARL,800.0,1,1
Millcon Steel PCL,800.0,1,1
BSRM Steels Ltd,800.0,1,1
Malaysia Steel Works (KL) Bhd,800.0,1,1
KSRM Steel Plant Ltd,800.0,1,1
Thy-Marcinelle SA,800.0,1,1
Riva Industries,800.0,1,1
Chubu Steel Plate Co Ltd,800.0,1,1
Hwanyoung Steel Industries Co Ltd,800.0,1,1
Ghaenat Steel Complex,800.0,1,1
Sidenor Steel Industry SA,800.0,1,1
Hmisho Steel SA,800.0,1,1
Sentuo Steel Ltd,800.0,1,1
Shengli Vietnam Special Steel Co Ltd,800.0,1,1
Nucor Steel Kankakee Inc,794.0,1,1
Hezhou Xindu Sanyuan Casting Co Ltd,780.0,1,1
NLMK Indiana LLC,770.0,1,1
Mono Steel (India) Ltd,770.0,1,1
Hezhou Zhaoxin Hardware Products Co Ltd,750.0,1,1
Arcelormittal Warszawa SP zoo,750.0,1,1
Global Steel Wire SA,750.0,1,1
Hebei New Wuan Iron and Steel Group Xin Hui Metallurgy Co Ltd,750.0,1,1
Empresa Siderurgica del Peru SAA,750.0,1,1
Xinjiang Kunyu Lron & Steel Co Ltd,750.0,2,1
Optimus Steel LLC,750.0,1,1
Van Company for Industrial Investment and General Trading,750.0,1,1
Sidenor Aceros Especiales SLU,740.0,1,1
Al Anmaa for Construction Materials Production Ltd,735.0,1,1
Asil Celik Sanayi ve Ticaret AŞ,730.0,1,1
Novorossiysk Rolling Plant LLC,730.0,1,1
Chow Steel Industries PCL,730.0,1,1
SIJ Acroni doo,726.0,1,1
Grupo Acerero SA de CV,725.0,1,1
Vallourec Star LP,725.0,1,1
Stahl Gerlafingen AG,720.0,1,1
Fujian Fuxin Special Steel Co Ltd,720.0,1,1
Sam Montereau SAS,720.0,1,1
Shyeh Sheng Fuat Steel & Iron Works Co Ltd,720.0,1,1
Jiangyin Xicheng Steel Co Ltd,720.0,1,1
Yamato Steel Co Ltd,700.0,1,1
Shaanxi Hanzhong Iron & Steel Group Co,700.0,1,1
Hellenic Halyvourgia SA,700.0,1,1
Dalmine SpA,700.0,1,1
Chongqing Yonghang Steel Group Co Ltd,700.0,1,1
Tangshan Yutian Jinzhou Industry Co Ltd,700.0,1,1
Zhenshi Group EASTERN SPECIAL Steel Co Ltd,700.0,1,1
ALPA - Aciéries et Laminoirs de Paris SAS,700.0,1,1
Megasa Siderurgica SL,700.0,1,1
Yun County Rongfeng Rolling Mill Factory,700.0,1,1
Siderpotenza SpA,700.0,1,1
Sohar Steel LLC,700.0,1,1
Sıddık Kardeşler Haddecilik Sanayi Ticaret LŞ,690.0,1,1
Alton Steel Inc,680.0,1,1
New Zealand Steel Ltd,670.0,2,1
Pan Gang Group Sichuan Changcheng Special Steel Co Ltd,669.0,1,1
Godawari Power and Ispat Ltd,659.0,1,1
Sipar Aceros SA,650.0,1,1
Swiss Steel Holding AG,650.0,1,1
Ivaco Rolling Mills 2004 LP,650.0,1,1
Georgsmarienhuette GmbH,650.0,1,1
Hospet Steels Ltd,650.0,1,1
ORI Martin - Acciaieria e Ferriera di Brescia SpA,650.0,1,1
LNM Group,650.0,1,1
Benteler Steel/Tube GmbH,650.0,1,1
Lianyungang Huale Alloy Group Co Ltd,621.0,1,1
Shougang Guiyang SPECIAL Steel Co Ltd,600.0,1,1
Aco Verde do Brasil SA,600.0,1,1
Nakayama Steel Works Ltd,600.0,1,1
Shiyan Fuyan Iron and Steel Co Ltd,600.0,1,1
Industrie Riunite Odolesi IRO SpA,600.0,1,1
Nakayama Steel Products Co Ltd,600.0,1,1
Scaw Metals Group Pty Ltd,600.0,1,1
Sichuan Gangchen Stainless Steel Co Ltd,600.0,1,1
Hai Kwang Enterprise Corp,600.0,1,1
Iran Alloy Steel Co,600.0,1,1
Bangkok Steel Industry PCL,600.0,1,1
Deutsche Edelstahlwerke GmbH,600.0,1,1
TY Steel Co Ltd,600.0,1,1
Dinson Iron & Steel Company Pvt Ltd,600.0,1,1
E-Top Metal Co Ltd,600.0,1,1
SN MAIA Siderurgia Nacional SA,600.0,1,1
Corrugados Getafe SL,600.0,1,1
Acciaierie di Calvisano SpA,600.0,1,1
Arabian Gulf Steel Industries Selling Port LLC,600.0,1,1
Amreli Steels Ltd,600.0,1,1
Kam Industries (Nigeria) Ltd,600.0,1,1
Rio Tinto Iron and Titanium Canada Inc,600.0,1,1
Fujian Dingxin Industry Co Ltd,600.0,1,1
F&F Steel,600.0,1,1
Mughal Iron & Steel Industries Ltd,583.0,1,1
A. Finkl & Sons Corp,573.0,1,1
Vietnam - Italy Steel JSC,552.0,1,1
Sichuan Shehong Chuanzhong Construction Materials Co Ltd,550.0,1,1
Makstil AD,550.0,1,1
VNSTEEL Southern Steel Co Ltd,550.0,1,1
Iton Seine SAS,550.0,1,1
Tuyen Quang Iron Steel Co Ltd,550.0,1,1
Hybar LLC,544.0,1,1
S.C. Silcotub SA,535.0,1,1
Shakambhari Ispat & Power Ltd,531.0,1,1
Gerdau SA,530.0,1,1
Gallantt Ispat Ltd,528.0,1,1
Sunflag Iron and Steel Co Ltd,525.0,1,1
Aceros AZA SA,520.0,1,1
KMK Tempo JSC,504.0,1,1
Krasnyi Oktyabr' Corporation JSC,501.0,1,1
YunNan Province Tiangao Nickel Alloy Co Ltd,500.0,1,1
Anhui Jingxian Longxin Iron and Steel Co Ltd,500.0,1,1
Ningbo Haoyang New MATERIALS Techonology Co Ltd,500.0,1,1
Marcegaglia Stainless Sheffield Ltd,500.0,1,1
Viet Nhat Advanced Steel JSC,500.0,1,1
Vina Kyoei Steel Ltd Co,500.0,1,1
Anhui Jin'an Stainless Steel Foundry Co Ltd,500.0,1,1
Megasider Zaragoza SA,500.0,1,1
Acciaierie di Sicilia SpA,500.0,1,1
Zhejiang TSINGSHAN IRON&STEEL Co Ltd,500.0,1,1
Lao Cai Cast Iron and Steel,500.0,1,1
VAS Steel Tue Minh JSC,500.0,1,1
Adhunik Metaliks Ltd,500.0,1,1
Shri Bajrang Power and Ispat Ltd,500.0,1,1
Huainan Hongtai Steel Limited Liability Co,500.0,1,1
Hubei Dazhan Steel & Iron Co Ltd,500.0,1,1
GLGH Steel,500.0,1,1
AlGioshy Steel SAE,500.0,1,1
Mindong Saiqi Economic Development Zone Fuhua Steel Rolling Co Ltd,500.0,1,1
Ada - Aceria De Angola SA,500.0,1,1
"Guangde Xinyuanda Metal Products Co., Ltd. Co Ltd",500.0,1,1
Guizhou Hexing Metal Products Co Ltd,500.0,1,1
Metalfer Steel Mill Sremska Mitrovica doo,500.0,1,1
Liaoyang Xinyi Special Steel Co Ltd,500.0,1,1
Asean Steel JSC,500.0,1,1
VAS Steel An Hung Tuong LLC,500.0,1,1
Jilin Steel Group Taihua Metal Equipment Manufacture Co Ltd,500.0,1,1
Ferrostal Labedy SP zoo,500.0,1,1
Delta Steel Company Ltd,500.0,1,1
Corporación AG SA,500.0,1,1
Kishiwada Steel Co Ltd,500.0,1,1
StavStal' LLC,500.0,1,1
Rashmi Metaliks Ltd,498.0,1,1
Qianxinan Prefecture Juxin Industry & Trade General Co,490.0,1,1
Siderurgica Norte Brasil SA,475.0,1,1
Tembo Steels Uganda Ltd,450.0,1,1
Agha Steel Industries Ltd,450.0,1,1
Shyam Steel Industries Ltd,420.0,1,1
Xinjiang Xin'an Special Steel Co Ltd,400.0,1,1
Ittehad Steels Pvt Ltd,400.0,1,1
MSP Steel & Power Ltd,385.0,1,1
Jinzhou Jinxing Special Steel Co Ltd,380.0,1,1
Action Ispat and Power Pvt Ltd,375.0,1,1
Faizan Steel,365.0,1,1
Al Qaryan Steel Co,350.0,1,1
Arjas Steel Pvt Ltd,334.0,1,1
Thai Nguyen Iron And Steel JSC,300.0,1,1
Jai Balaji Industries Ltd,295.0,2,1
Welspun Corp Ltd,288.0,1,1
Empresa Siderúrgica del Mutún,200.0,1,1
Myanmar Economic Corp,200.0,1,1
Crest Steel and Power Pvt Ltd,130.0,1,1
Shyam Steel Manufacturing Ltd,126.0,1,1
Yazdani Steel and Power Ltd,110.0,1,1
Orissa Sponge Iron and Steel Ltd,101.0,1,1
Nilachal Iron & Power Ltd,99.0,1,1
Jai Balaji Jyoti Steels Ltd,92.0,1,1
NR Ispat and Power Pvt Ltd,48.0,1,1
Shanxi HUAQIANG Iron and Steel Co Ltd,0.0,1,1
Ahya Steel Folad Baft Co,0.0,1,1
Honghe Iron and Steel Co Ltd,0.0,1,1
Hyron Africa,0.0,1,1
Hebei PROVINCE Longfengshan Casting Industry Co Ltd,0.0,1,1
Guangxi Liugang Zhongjin Stainless Steel Co Ltd,0.0,2,1
GuangDong Xinxing Ductile Iron Pipes Co Ltd,0.0,1,1
Gohar Zamin Iron Ore Co,0.0,1,1
Ramsarup Industries Ltd,0.0,1,1
Complejo Siderurgico de Guayana CA,0.0,1,1
Iranian Ghadir Iron & Steel Co,0.0,1,1
JSW Green Steel Ltd,0.0,1,1
Sabzevar Pars Steel Complex,0.0,1,1
Fushun HANWANG Direct Reduced Iron Co Ltd,0.0,1,1
Tata Metaliks Ltd,0.0,1,1
Corporacion Venezolana de Guayana,0.0,1,1
Companhia Siderurgica do Cuchi SA,0.0,1,1
Electrosteel Castings Ltd,0.0,2,1
CVG Ferrominera Orinoco CA,0.0,1,1
Briquetera del Orinoco CA,0.0,1,1
Vedanta Iron and Steel Ltd,0.0,1,1
Ardakan Steel Complex Co,0.0,1,1
Persian Gulf Saba Steel,0.0,1,1
Lebedinskiy GOK JSC,0.0,1,1
KIC Metaliks Ltd,0.0,1,1
Prakash Sponge Iron and Power Pvt Ltd,0.0,1,1
Mianeh Steel,0.0,1,1
Lloyds Metals and Energy Ltd,0.0,2,1
Nu-Iron Unlimited,0.0,1,1
Wugang Zhongjia Iron & Steel Co Ltd,0.0,1,1
Antara Steel Mills Sdn Bhd,0.0,1,1
Nucor Steel Louisiana LLC,0.0,1,1
Atibir Industries Co Ltd,0.0,1,1
Andrade Valladares Engenharia e Construcao Ltda,0.0,1,1
